  67×25 table

     TestFolder     Accuracy     BestGuess    GuessScore       S1          S2           S3           S4           S5          S6           S7           S8          S9          S10         S11          S12          S13         S14         S15         S16          S17          S18          S19          S20         S21   
    "S12/S12MK2"      0.36145      "S20"       0.63855             0            0            0            0           0            0            0           0            0           0           0      0.36145            0           0           0           0            0            0            0      0.63855           0
    "S12/S12MK1"      0.83929      "S12"       0.83929             0            0            0            0           0      0.13095            0           0            0           0           0      0.83929            0           0    0.029762           0            0            0            0            0           0
    "S12/S12NM2"     0.018293      "S5"        0.65244             0            0            0            0     0.65244     0.018293            0           0            0           0           0     0.018293            0    0.067073     0.15244           0            0            0            0     0.042683     0.04878
    "S13/S13MK1"    0.0060241      "S5"         0.8253             0            0            0            0      0.8253    0.0060241            0           0            0           0     0.16265            0    0.0060241           0           0           0            0            0            0            0           0
    "S14/S14HD1"            0      "S13"        0.7362             0            0      0.08589            0     0.01227            0            0           0            0           0           0            0       0.7362           0           0           0      0.15951            0            0            0    0.006135
    "S14/S14GL1"      0.13174      "S12"       0.71856             0            0            0            0           0            0            0           0     0.005988           0    0.047904      0.71856            0     0.13174           0           0            0            0            0      0.02994    0.065868
    "S14/S14MK1"      0.59036      "S14"       0.59036             0            0            0            0           0       0.1506            0           0            0           0           0    0.0060241            0     0.59036           0           0            0      0.16867            0     0.084337           0
    "S14/S14NM2"      0.17262      "S12"       0.51786             0            0    0.0059524            0           0            0     0.011905           0     0.011905           0    0.047619      0.51786            0     0.17262           0           0            0    0.0059524            0      0.14286    0.083333
    "S15/S15MK1"            0      "S21"       0.97576             0            0            0            0           0            0            0           0            0           0           0            0            0           0           0           0            0     0.024242            0            0     0.97576
    "S16/S16MK1"     0.041916      "S7"        0.45509             0            0      0.21557            0     0.21557            0      0.45509           0            0    0.047904           0            0            0           0           0    0.041916            0            0            0     0.023952           0
    "S17/S17MK1"            0      "S9"         0.5697      0.012121            0            0            0     0.41212            0            0           0       0.5697           0           0    0.0060606            0           0           0           0            0            0            0            0           0
    "S18/S18MK1"      0.43396      "S18"       0.43396             0            0    0.0062893            0           0     0.018868            0           0            0           0           0     0.012579            0     0.30818           0           0            0      0.43396            0    0.0062893     0.21384
    "S19/S19GL1"      0.50588      "S19"       0.50588             0            0            0            0     0.49412            0            0           0            0           0           0            0            0           0           0           0            0            0      0.50588            0           0
    "S19/S19MK1"      0.95808      "S19"       0.95808             0            0            0            0    0.041916            0            0           0            0           0           0            0            0           0           0           0            0            0      0.95808            0           0
    "S20/S20MK1"      0.34337      "S9"        0.41566             0            0      0.21084            0           0            0            0           0      0.41566           0           0            0    0.0060241           0           0           0            0            0            0      0.34337    0.024096
    "S21/S21MK1"      0.29268      "S13"       0.68293             0            0     0.012195            0    0.012195            0            0           0            0           0           0            0      0.68293           0           0           0            0            0            0            0     0.29268

